Shuckle,100,213,bug,rock,26.9,345.4,84,780081,50,458,Rock Throw,Gyro Ball,Return,12,14,3,50000
Shuckle (Shadow),99.5,213,bug,rock,26.9,345.4,84,780081,50,458,Rock Throw,Frustration,Gyro Ball,14,12,3,50000
Cubone,93.9,104,ground,none,56,91.4,87,445773,19.5,500,Mud Slap,Bone Club,Bulldoze,4,5,3,50000
Tentacool,92.6,72,water,poison,58.4,92,79,424547,19.5,498,Poison Sting,Wrap,Water Pulse,5,7,3,50000
Cubone (Shadow),91.5,104,ground,none,56,91.4,87,445773,19.5,500,Mud Slap,Bone Club,Bulldoze,4,5,3,50000
Ducklett,91.1,580,water,flying,57.6,71.3,106,435461,24,500,Wing Attack,Brave Bird,Aerial Ace,8,6,3,50000
Onix (Shadow),90.6,95,rock,ground,51,136.6,70,487694,18,499,Rock Throw,Breaking Swipe,Frustration,7,14,5,75000
Shelmet,90.4,616,bug,none,49.7,100.1,99,493031,24,496,Acid,Body Slam,Bug Buzz,5,8,3,50000
Probopass (Shadow),89.5,476,rock,steel,56.3,115.5,67,435885,9,497,Rock Throw,Frustration,Magnet Bomb,14,9,3,50000
Wooper,89.5,194,water,ground,59.7,60.5,116,418656,34,500,Mud Shot,Mud Bomb,Body Slam,5,5,3,50000
Pidgey,89.3,16,normal,flying,64.6,63.1,94,383180,29.5,498,Quick Attack,Aerial Ace,Air Cutter,5,5,1,10000
Shelmet (Shadow),89.1,616,bug,none,49.7,100.1,99,493031,24,496,Acid,Body Slam,Bug Buzz,5,8,3,50000
Onix,88.8,95,rock,ground,51,136.6,70,487694,18,499,Rock Throw,Breaking Swipe,Heavy Slam,7,10,5,75000
Gligar,87.8,207,ground,flying,63.4,82.4,75,391598,10,498,Fury Cutter,Aerial Ace,Dig,10,13,5,75000
Venonat (Shadow),87.6,48,bug,poison,61.3,66.1,99,401260,19.5,497,Bug Bite,Frustration,Poison Fang,24,14,3,50000
Barboach,87.3,339,water,ground,64.1,63.5,95,386772,24,499,Mud Shot,Mud Bomb,Aqua Tail,5,5,1,10000
Stunky (Shadow),87.3,434,poison,dark,69.5,57,91,360128,16.5,500,Bite,Crunch,Flamethrower,23,28,3,50000
Venonat,87.3,48,bug,poison,61.3,66.1,99,401260,19.5,497,Bug Bite,Poison Fang,Psybeam,14,20,3,50000
Grimer (Alolan) (Shadow),87,88,poison,dark,70,51.5,99,356693,14,500,Bite,Crunch,Frustration,23,35,3,50000
Wooper (Shadow),86.7,194,water,ground,59.7,60.5,116,418656,34,500,Mud Shot,Mud Bomb,Body Slam,5,5,3,50000
Ledyba,86.6,165,bug,flying,53.2,91.4,96,466924,29,499,Bug Bite,Aerial Ace,Return,14,24,1,10000
Primarina,86.3,730,water,fairy,75.8,66.1,65,325791,6,497,Charm,Disarming Voice,Hydro Cannon,8,7,3,10000
Vulpix,86,37,fire,none,64,77.3,79,390846,22.5,500,Ember,Weather Ball (Fire),Body Slam,5,5,3,50000
Ledyba (Shadow),85.9,165,bug,flying,53.7,91.2,94,460498,28,497,Bug Bite,Aerial Ace,Frustration,14,24,1,10000
Skuntank (Shadow),85.9,435,poison,dark,70.9,54.8,90,349676,8,499,Bite,Crunch,Flamethrower,23,28,3,50000
Squirtle,85.9,7,water,none,59.9,81,85,412493,20.5,497,Bubble,Aqua Tail,Aqua Jet,4,4,3,10000
Probopass,85.8,476,rock,steel,56.3,118.4,66,440301,9.5,500,Rock Throw,Magnet Bomb,Rock Slide,9,9,3,50000
Zigzagoon (Galarian),85.6,263,dark,normal,53.8,79,108,458776,50,497,Tackle,Body Slam,Dig,12,17,1,10000
Nosepass (Shadow),85.5,299,rock,none,51.4,135,69,478615,20,499,Rock Throw,Frustration,Rock Blast,14,8,3,50000
Raticate (Alolan) (Shadow),85.5,20,dark,normal,62.9,74.9,84,395797,11,499,Bite,Crunch,Frustration,23,35,1,10000
Weezing (Galarian) (Shadow),85.5,110,poison,fairy,69,80.2,65,359794,8.5,500,Fairy Wind,Brutal Swing,Frustration,4,8,3,50000
Drifloon,85.3,425,ghost,flying,65.7,50.8,114,380358,16,500,Astonish,Icy Wind,Ominous Wind,5,5,5,75000
Drifloon (Shadow),85.1,425,ghost,flying,65.7,50.8,114,380358,16,500,Astonish,Frustration,Icy Wind,7,5,5,75000
Ninetales (Alolan) (Shadow),85.1,38,ice,fairy,67.4,78.3,70,369615,8.5,499,Charm,Blizzard,Dazzling Gleam,13,10,3,50000
Ducklett (Shadow),84.4,580,water,flying,57.6,71.3,106,435461,24,500,Wing Attack,Brave Bird,Aerial Ace,8,6,3,50000
Wobbuffet (Shadow),84.4,202,psychic,none,38.2,71.7,235,644109,20,496,Charm,Frustration,Mirror Coat,12,10,3,50000
Dewott,84.2,502,water,none,71.8,58,83,345846,11,499,Fury Cutter,Aqua Tail,Water Pulse,9,14,3,10000
Muk (Alolan),84.2,89,poison,dark,67.7,63.6,85,365992,7,498,Bite,Acid Spray,Dark Pulse,23,25,3,50000
Steelix,84.2,208,steel,ground,57,105.8,72,434543,8,497,Dragon Tail,Breaking Swipe,Crunch,4,5,5,75000
Pidgey (Shadow),83.8,16,normal,flying,64.6,63.1,94,383180,29.5,498,Quick Attack,Aerial Ace,Air Cutter,5,5,1,10000
Tentacool (Shadow),83.8,72,water,poison,58.6,93.1,77,420040,18.5,497,Poison Sting,Wrap,Water Pulse,5,7,3,50000
Steelix (Shadow),83.4,208,steel,ground,57,105.8,72,434543,8,497,Dragon Tail,Breaking Swipe,Crunch,4,5,5,75000
Wobbuffet,83.4,202,psychic,none,38.1,73.2,235,655317,20.5,500,Charm,Mirror Coat,Mirror Coat,10,0,3,50000
Quagsire,83.3,195,water,ground,64.1,63.7,94,384306,9.5,498,Mud Shot,Acid Spray,Aqua Tail,6,5,3,50000
Stunky,83.1,434,poison,dark,69.5,57,91,360128,16.5,500,Bite,Crunch,Flamethrower,23,28,3,50000
Grimer (Alolan),82.9,88,poison,dark,70,51.5,99,356693,14,500,Bite,Crunch,Gunk Shot,23,38,3,50000
Relicanth,82.9,369,water,rock,60.5,78.3,86,407552,7.5,498,Water Gun,Ancient Power,Aqua Tail,15,12,5,75000
Marowak,82.7,105,ground,none,64.5,84.4,71,386641,10.5,500,Mud Slap,Bone Club,Dig,4,5,3,50000
Nosepass,82.7,299,rock,none,51.4,136.5,69,484350,21,499,Rock Throw,Rock Blast,Rock Slide,8,9,3,50000
Weezing (Galarian),82.7,110,poison,fairy,69,80.2,65,359794,8.5,500,Fairy Wind,Brutal Swing,Hyper Beam,4,9,3,50000
Ledian (Shadow),82.6,166,bug,flying,57,94.6,81,436659,14.5,499,Bug Bite,Aerial Ace,Bug Buzz,14,20,1,10000
Drifblim (Shadow),82.5,426,ghost,flying,69.4,42.8,121,359311,8,499,Astonish,Frustration,Icy Wind,7,5,5,75000
Machop,82.5,66,fighting,none,73.5,49.7,93,339379,15,499,Karate Chop,Brick Break,Cross Chop,5,4,3,50000
Ninetales (Alolan),82,38,ice,fairy,67.4,78.3,70,369615,8.5,499,Charm,Blizzard,Dazzling Gleam,13,10,3,50000
Drifblim,81.9,426,ghost,flying,69.4,42.8,121,359311,8,499,Astonish,Icy Wind,Mystical Fire,5,5,5,75000
Nidoran Female,81.9,29,poison,none,58.9,67.4,105,416872,24,496,Bite,Body Slam,Poison Fang,18,20,3,50000
Ledian,81.8,166,bug,flying,57,94.6,81,436659,14.5,499,Bug Bite,Aerial Ace,Bug Buzz,14,20,1,10000
Raticate (Alolan),81.6,20,dark,normal,62.9,74.9,84,395797,11,499,Bite,Crunch,Hyper Beam,23,40,1,10000
Drapion,81.5,452,poison,dark,68.9,77.9,67,359569,7.5,500,Bite,Aqua Tail,Crunch,18,23,5,75000
Skuntank,81.4,435,poison,dark,70.9,54.8,90,349676,8,499,Bite,Crunch,Flamethrower,23,28,3,50000
Tepig,81.4,498,fire,none,67.4,56.7,96,366951,18,499,Ember,Body Slam,Flame Charge,5,8,3,10000
Zubat,81.4,41,poison,flying,63.9,64.7,94,388507,30.5,498,Bite,Air Cutter,Poison Fang,18,20,1,10000
Dratini (Shadow),81.2,147,dragon,none,71.6,60.6,79,342632,19,495,Dragon Breath,Aqua Tail,Frustration,12,24,5,75000
Duskull,81.2,355,ghost,none,53.5,124.1,70,464615,28.5,500,Astonish,Night Shade,Ominous Wind,5,5,3,50000
Litwick (Shadow),81.2,607,ghost,fire,66.1,63.7,89,374603,19.5,497,Astonish,Mystical Fire,Flame Charge,5,5,5,75000
Marowak (Shadow),81.2,105,ground,none,64.5,84.4,71,386641,10.5,500,Mud Slap,Bone Club,Dig,4,5,3,50000
Vibrava (Shadow),81.1,329,ground,dragon,72.6,58.9,79,337754,15.5,498,Dragon Breath,Bug Buzz,Bulldoze,20,15,5,75000
Foongus,80.8,590,grass,poison,60.9,61.5,109,408690,20,499,Astonish,Body Slam,Grass Knot,4,5,3,50000
Dratini,80.7,147,dragon,none,72.2,60.6,79,345417,19,499,Dragon Breath,Aqua Tail,Twister,12,15,5,75000
Gliscor,80.7,472,ground,flying,67,81.4,68,370976,7,500,Fury Cutter,Aerial Ace,Earthquake,10,17,5,75000
Litwick,80.7,607,ghost,fire,66.1,63.7,89,374603,19.5,497,Astonish,Mystical Fire,Flame Charge,5,5,5,75000
Kakuna (Shadow),80.5,14,bug,poison,51.3,75.6,120,465181,50,488,Bug Bite,Frustration,Struggle,24,34,1,10000
Mightyena (Shadow),80.5,262,dark,none,73.2,60.4,76,336235,9.5,496,Bite,Crunch,Frustration,23,35,1,10000
Wailmer,80.5,320,water,none,67.9,38.5,140,366407,13,500,Rollout,Body Slam,Scald,3,4,1,10000
Shelgon (Shadow),80.4,372,dragon,none,72.4,65.8,72,342813,9.5,500,Dragon Breath,Dragon Pulse,Flamethrower,20,19,5,75000
Metapod (Shadow),80.3,11,bug,none,50.4,78.1,126,496448,50,500,Bug Bite,Frustration,Struggle,24,34,1,10000
Spheal,80,363,ice,water,60.3,62.7,109,412541,20,499,Water Gun,Body Slam,Water Pulse,12,19,3,50000
Vulpix (Shadow),80,37,fire,none,64,77.3,79,390846,22.5,500,Ember,Weather Ball (Fire),Body Slam,5,5,3,50000
Zigzagoon (Galarian) (Shadow),80,263,dark,normal,53.8,79,108,458776,50,497,Tackle,Body Slam,Dig,12,17,1,10000
Jumpluff,79.8,189,grass,flying,55.7,89.7,88,439910,11.5,496,Bullet Seed,Acrobatics,Aerial Ace,5,4,3,50000
