Swampert (Mega),100,260,water,ground,250.4,195.8,201,9854554,50,4975,Mud Shot,Earthquake,Hydro Cannon,9,5,3,10000
Latios (Mega),97.8,381,dragon,psychic,294.1,215.1,172,10881912,50,5661,Dragon Breath,Dragon Claw,Luster Purge,12,20,20,100000
Scizor (Mega),92.6,212,bug,steel,247,222.7,157,8636974,50,4621,Bullet Punch,Iron Head,Night Slash,8,5,5,75000
Kyogre (Primal),84.9,382,water,none,309.2,237.8,195,14339619,50,6672,Waterfall,Blizzard,Hydro Pump,10,10,20,100000
Gyarados (Mega),83.9,130,water,dark,258,220.2,194,11018187,50,5332,Bite,Aqua Tail,Crunch,18,23,1,10000
Tyranitar (Mega),83.7,248,rock,dark,272.3,244.5,201,13381439,50,6045,Bite,Brutal Swing,Crunch,18,23,5,75000
Garchomp (Mega),81.7,445,dragon,ground,297.5,199.2,213,12618274,50,6132,Dragon Tail,Earthquake,Earth Power,8,7,5,75000
Rayquaza (Mega),81.7,384,dragon,flying,329.4,189.1,203,12642512,50,6458,Air Slash,Aerial Ace,Ancient Power,5,5,20,100000
Groudon (Primal),79.7,383,fire,ground,309.2,237.8,195,14339619,50,6672,Dragon Tail,Earthquake,Fire Blast,8,9,20,100000
Steelix (Mega),77.1,208,steel,ground,190.7,287.4,164,8990101,50,4149,Dragon Tail,Breaking Swipe,Crunch,4,5,5,75000
Aggron (Mega),75.7,306,steel,none,220.2,290.7,157,10049531,50,4705,Dragon Tail,Heavy Slam,Meteor Beam,6,7,1,10000
Latias (Mega),74.5,380,dragon,psychic,255.5,262.2,172,11519281,50,5428,Charm,Mist Ball,Outrage,10,10,20,100000
Lucario (Mega),73.7,448,fighting,steel,273.1,159.7,157,6845503,50,4325,Bullet Punch,Aura Sphere,Blaze Kick,8,6,5,75000
Heracross (Mega),73,214,bug,fighting,293.3,200,172,10087872,50,5443,Counter,Close Combat,Earthquake,8,11,3,50000
Gallade (Mega),70.3,475,psychic,fighting,286.5,205.9,154,9084686,50,5112,Charm,Close Combat,Leaf Blade,8,6,5,75000
Salamence (Mega),67.8,373,dragon,flying,273.1,223.5,194,11842284,50,5688,Bite,Draco Meteor,Fire Blast,33,40,5,75000
Blaziken (Mega),67.5,257,fire,fighting,289.1,153.8,172,7645515,50,4704,Counter,Blast Burn,Blaze Kick,9,7,3,10000
Gengar (Mega),67.5,94,ghost,poison,305.9,179.8,142,7810382,50,4902,Hex,Dark Pulse,Focus Blast,4,6,3,50000
Houndoom (Mega),64.7,229,dark,fire,255.5,175.6,164,7357537,50,4344,Fire Fang,Crunch,Fire Blast,8,14,3,50000
Diancie (Mega),62.3,719,rock,fairy,300,210.1,127,8003514,50,4913,Rock Throw,Moonblast,Power Gem,12,10,20,100000
Pinsir (Mega),62,127,bug,flying,268.9,206.7,149,8282093,50,4728,Bug Bite,Close Combat,Return,15,24,5,75000
Altaria (Mega),61.4,334,dragon,fairy,199.2,195.8,164,6394651,50,3576,Dragon Breath,Dazzling Gleam,Dragon Pulse,19,20,1,10000
Ampharos (Mega),59.7,181,electric,dragon,259.7,183.2,186,8847013,50,4799,Charge Beam,Brutal Swing,Dragon Pulse,4,6,5,75000
Alakazam (Mega),59,65,psychic,none,321,186.5,135,8083861,50,5099,Confusion,Dazzling Gleam,Fire Punch,5,4,3,50000
Slowbro (Mega),58.9,80,water,psychic,200.8,230.2,194,8970547,50,4245,Confusion,Ice Beam,Psychic,5,5,3,50000
Lopunny (Mega),58.7,428,normal,fighting,249.6,192.4,149,7155615,50,4234,Double Kick,Fire Punch,Focus Blast,4,7,3,50000
Pidgeot (Mega),58.6,18,normal,flying,247.9,159.7,176,6965576,50,4160,Air Slash,Aerial Ace,Air Cutter,5,4,1,10000
Venusaur (Mega),58.3,3,grass,poison,215.1,219.3,172,8114797,50,4181,Razor Leaf,Frenzy Plant,Petal Blizzard,12,17,3,10000
