Pokemon,Score,Dex,Type 1,Type 2,Attack,Defense,Stamina,Stat Product,Level,CP,Fast Move,Charged Move 1,Charged Move 2,Charged Move 1 Count,Charged Move 2 Count,Buddy Distance,Charged Move Cost
Swampert (Mega),100,260,water,ground,174.8,139.7,145,3541077,20.5,2489,Mud Shot,Earthquake,Hydro Cannon,9,5,3,10000
Scizor (Mega),94.5,212,bug,steel,179.3,164.7,117,3456554,22.5,2492,Bullet Punch,Iron Head,Night Slash,8,5,5,75000
Mawile (Mega),83.4,303,steel,fairy,160.7,190.7,126,3862324,48.5,2497,Astonish,Iron Head,Play Rough,5,6,5,75000
Steelix (Mega),83.4,208,steel,ground,145.7,230.7,127,4269263,25.5,2499,Dragon Tail,Breaking Swipe,Crunch,4,5,5,75000
Lucario (Mega),82.9,448,fighting,steel,205.5,120.4,122,3018848,24,2494,Bullet Punch,Aura Sphere,Blaze Kick,8,6,5,75000
Medicham (Mega),77.2,308,fighting,psychic,169.6,156.7,137,3642113,43.5,2488,Counter,Dynamic Punch,Ice Punch,8,7,3,50000
Altaria (Mega),76.5,334,dragon,fairy,164,165.4,140,3797840,29.5,2495,Dragon Breath,Dazzling Gleam,Dragon Pulse,19,20,1,10000
Charizard (Mega Y),74.3,6,fire,flying,196,133.7,121,3169423,20.5,2498,Air Slash,Blast Burn,Dragon Claw,6,4,3,10000
Houndoom (Mega),73.3,229,dark,fire,192.4,133.5,126,3236547,24,2498,Fire Fang,Crunch,Fire Blast,8,14,3,50000
Blaziken (Mega),70.2,257,fire,fighting,208.6,112.2,127,2971914,22,2492,Counter,Blast Burn,Blaze Kick,9,7,3,10000
Latios (Mega),70,381,dragon,psychic,194.8,147.1,112,3208797,18.5,2500,Dragon Breath,Dragon Claw,Luster Purge,12,20,20,100000
Gyarados (Mega),69.4,130,water,dark,175.2,149.2,136,3555944,19.5,2498,Bite,Aqua Tail,Crunch,18,23,1,10000
Aggron (Mega),69.1,306,steel,none,157.9,216.2,115,3925118,22,2499,Dragon Tail,Heavy Slam,Meteor Beam,6,7,1,10000
Charizard (Mega X),68.4,6,fire,dragon,181.3,147.6,128,3426818,23.5,2494,Air Slash,Blast Burn,Dragon Claw,6,4,3,10000
Kyogre (Primal),67.7,382,water,none,187.8,147.8,119,3302159,15.5,2494,Waterfall,Blizzard,Hydro Pump,10,10,20,100000
Lopunny (Mega),66.6,428,normal,fighting,189.8,150.1,115,3275643,24.5,2493,Double Kick,Fire Punch,Focus Blast,4,7,3,50000
